14058.7;(4.54817,-2.07583,-9.9286);(0.791184,-0.611412,0.0142549);neutron
14710.1;(-1.6496,2.01837,-14.2667);(-0.167562,0.327024,-0.930042);neutron
14247.4;(4.65756,-1.32268,-11.2481);(0.90921,-0.322195,-0.263681);neutron
14549.8;(1.59727,3.74329,-12.9046);(0.228771,0.674841,-0.701607);neutron
14345.9;(2.53737,3.61356,-12.346);(0.476751,0.778956,-0.407352);neutron
13785.7;(2.8432,-3.5255,-7.88173);(0.731398,-0.534737,0.423219);neutron
13566.7;(-1.15854,-3.45524,-6.57668);(-0.221668,-0.614545,0.757098);neutron
13518.7;(1.76562,2.93603,-6.35826);(0.28727,0.476229,0.831073);neutron
14184.3;(3.16416,3.79301,-10.7754);(0.644355,0.745326,-0.171162);neutron
14532.9;(2.08017,-3.44344,-12.9691);(0.475506,-0.561305,-0.67737);neutron
13704.6;(3.22753,2.27024,-6.92933);(0.740477,0.39167,0.546158);neutron
13840.3;(-2.57632,3.92179,-8.2731);(-0.424194,0.839034,0.340706);neutron
13566.1;(2.84855,-1.91171,-6.36254);(0.486591,-0.434204,0.758087);neutron
14155.4;(-4.91051,0.616306,-10.7121);(-0.953355,0.273062,-0.128655);neutron
14462.8;(3.17503,3.05638,-12.3617);(0.535024,0.617472,-0.576609);neutron
13484.2;(1.48932,-1.47651,-5.46108);(0.360996,-0.295943,0.884364);neutron
14182.2;(4.77704,1.2782,-10.739);(0.967096,0.190978,-0.168084);neutron
14163.9;(2.23737,4.4317,-10.5951);(0.404586,0.903537,-0.141177);neutron
14434.2;(2.72502,2.94173,-12.9867);(0.593911,0.600594,-0.53531);neutron
14061.2;(1.57825,-4.74406,-9.94515);(0.354602,-0.934957,0.0105874);neutron
13893.4;(-4.66361,1.35571,-8.81141);(-0.827112,0.497844,0.26084);neutron
13864.3;(3.68957,-3.10606,-8.68111);(0.816032,-0.491273,0.304537);neutron
14065.7;(-0.152059,-4.99763,-9.97686);(-0.130444,-0.991448,0.00383757);neutron
13916;(-4.87247,0.0741674,-8.88036);(-0.969509,-0.0925551,0.226903);neutron
14154.2;(4.91238,-0.669001,-10.6488);(0.98626,-0.105842,-0.126839);neutron
13928.1;(-4.54505,-1.7771,-8.91168);(-0.962675,-0.172103,0.208897);neutron
13462.6;(-2.33017,-0.0115908,-5.57618);(-0.371309,0.140241,0.917857);neutron
13454.7;(2.30446,-1.17455,-5.72099);(0.353854,-0.0990596,0.93004);neutron
14135.6;(-0.76369,-4.92172,-10.4398);(-0.00778709,-0.99501,-0.0994747);neutron
14158.9;(4.65518,-1.73868,-10.5535);(0.901343,-0.411914,-0.133821);neutron
14075.1;(-4.52996,2.1159,-10.0495);(-0.917215,0.398267,-0.0100141);neutron
13445;(0.911906,-1.56433,-5.33939);(0.0027831,-0.326854,0.945071);neutron
14366.1;(4.6488,-0.0287098,-11.8406);(0.883005,-0.171917,-0.436747);neutron
13538.4;(-2.1598,0.932905,-5.58809);(-0.492937,0.34044,0.800696);neutron
14346.1;(-0.341862,-4.38597,-12.3762);(-0.0349567,-0.912445,-0.407703);neutron
